,Date,Stock,StockChange,SentimentValue,SentimentChange
0,9/1/2018,365.6399994,0,0.401554945,0
1,9/2/2018,364.6200027,-1.019996643,0.414880682,0.013325737
2,9/3/2018,364.1100044,-0.509998322,0.327465556,-0.087415126
3,9/4/2018,363.6000061,-0.509998322,0.353086667,0.025621111
4,9/5/2018,341.1799927,-22.42001343,0.359225556,0.006138889
5,9/6/2018,346.4599915,5.279998779,0.255367778,-0.103857778
6,9/7/2018,348.6799927,2.220001221,0.34338,0.088012222
7,9/8/2018,348.5449982,-0.134994507,0.341355556,-0.002024444
8,9/9/2018,348.4775009,-0.067497253,0.339538462,-0.001817094
9,9/10/2018,348.4100037,-0.067497253,0.364452809,0.024914347
10,9/11/2018,355.9299927,7.519989014,0.339421111,-0.025031698
11,9/12/2018,369.9500122,14.02001953,0.260518889,-0.078902222
12,9/13/2018,368.1499939,-1.800018311,0.219367778,-0.041151111
13,9/14/2018,364.5599976,-3.589996338,0.310414286,0.091046508
14,9/15/2018,357.4550018,-7.104995728,0.381022472,0.070608186
15,9/16/2018,353.902504,-3.552497864,0.252816667,-0.128205805
16,9/17/2018,350.3500061,-3.552497864,0.158458889,-0.094357778
17,9/18/2018,367.6499939,17.29998779,0.358297778,0.199838889
18,9/19/2018,366.9599915,-0.690002441,0.237561111,-0.120736667
19,9/20/2018,365.3599854,-1.600006104,0.342276667,0.104715556
20,9/21/2018,361.1900024,-4.16998291,0.447115556,0.104838889
21,9/22/2018,365.3999939,4.209991455,0.26677,-0.180345556
22,9/23/2018,367.5049896,2.104995728,0.342867778,0.076097778
23,9/24/2018,369.6099854,2.104995728,0.26155,-0.081317778
24,9/25/2018,369.4299927,-0.179992676,0.246162222,-0.015387778
25,9/26/2018,377.8800049,8.450012207,0.32334,0.077177778
26,9/27/2018,380.7099915,2.829986572,0.367787778,0.044447778
27,9/28/2018,374.1300049,-6.579986572,0.252211828,-0.11557595
28,9/29/2018,377.7799988,3.649993896,0.311458621,0.059246793
